Timestamp,Log Level,Message
2025-01-29 13:11:37,INFO,Response status code: 200
2025-01-29 13:11:37,INFO,Response text: {"sessionToken":"/cEl24U8ywYEMaaoTwBNygkww4daoM6JZJ6HirZbuFQ=","loginStatus":"SUCCESS"}
2025-01-29 13:11:37,INFO,Betfair login successful.
2025-01-29 13:11:37,INFO,Session is active.
2025-01-29 13:12:37,INFO,Session is active.
2025-01-29 13:13:37,INFO,Session is active.
2025-01-29 13:14:37,INFO,Session is active.
2025-01-29 13:15:37,INFO,Session is active.
2025-01-29 13:16:37,INFO,Session is active.
2025-01-29 13:17:37,INFO,Session is active.
2025-01-29 13:18:37,INFO,Session is active.
2025-01-29 13:19:37,INFO,Session is active.
2025-01-29 13:20:37,INFO,Session is active.
2025-01-29 13:21:37,INFO,Session is active.
2025-01-29 13:22:37,INFO,Session is active.
2025-01-29 13:23:37,INFO,Session is active.
2025-01-29 13:24:37,INFO,Session is active.
2025-01-29 13:25:37,INFO,Session is active.
2025-01-29 13:26:37,INFO,Session is active.
2025-01-29 13:27:37,INFO,Session is active.
2025-01-29 13:28:37,INFO,Session is active.
2025-01-29 13:29:37,INFO,Session is active.
2025-01-29 13:30:37,INFO,Session is active.
2025-01-29 13:31:37,INFO,Session is active.
2025-01-29 13:32:37,INFO,Session is active.
2025-01-29 13:33:37,INFO,Session is active.
2025-01-29 13:34:37,INFO,Session is active.
2025-01-29 13:35:37,INFO,Session is active.
2025-01-29 13:36:37,INFO,Session is active.
2025-01-29 13:37:37,INFO,Session is active.
2025-01-29 13:38:37,INFO,Session is active.
2025-01-29 13:39:37,INFO,Session is active.
2025-01-29 13:40:37,INFO,Session is active.
2025-01-29 13:41:37,INFO,Session is active.
2025-01-29 13:42:37,INFO,Session is active.
2025-01-29 13:43:37,INFO,Session is active.
2025-01-29 13:44:32,INFO,Response status code: 200
2025-01-29 13:44:32,INFO,Response text: {"sessionToken":"LTDZ4icce5DwT3j71rnJnDO19DLrJxLVsm/O5nJEwzI=","loginStatus":"SUCCESS"}
2025-01-29 13:44:32,INFO,Betfair login successful.
2025-01-29 13:44:32,INFO,Session is active.
